 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 288 422 437 454 2
 289 423 437 624 2
 290 424 438 439 1
 291 425 438 442 2
 292 426 438 443 2
 293 429 447 448 1
 294 430 447 453 1
 295 431 448 470 2
 296 432 449 595 2
 297 433 450 458 1
 298 434 450 464 2
 299 435 450 471 1
 300 436 451 473 2
 301 437 451 479 2
 302 438 453 469 1
 303 440 454 455 2
 304 441 455 478 2
 305 445 458 459 1
 306 446 459 466 1
 307 447 460 738 2
 308 448 461 462 2
 309 449 461 469 2
 310 450 462 472 2
 311 451 464 465 2
 312 452 465 467 2
 313 453 467 468 2
 314 454 470 471 1
 315 455 471 473 2
 316 456 472 474 2
 317 458 478 479 2
 318 462 483 561 2
 319 463 484 488 2
 320 465 484 502 2
 321 466 484 507 2
 322 469 485 502 2
 323 470 485 509 2
 324 471 488 513 2
 325 477 494 503 2
 326 478 494 514 2
 327 480 495 513 2
 328 481 495 573 2
 329 482 497 507 2
 330 483 497 510 2
 331 484 497 527 2
 332 487 499 514 2
 333 488 499 527 2
 334 489 501 530 2
 335 490 501 533 2
 336 492 503 505 2
 337 493 503 513 2
 338 495 505 562 2
 339 497 509 520 2
 340 499 510 512 2
 341 500 510 521 2
 342 501 512 523 2
 343 506 517 523 2
 344 507 517 524 2
 345 508 520 530 2
 346 509 521 533 2
 347 510 521 548 2
 348 511 522 526 2
 349 512 522 561 2
 350 513 523 537 2
 351 514 524 533 2
 352 515 525 560 2
 353 516 526 532 2
 354 517 526 546 2
 355 518 529 532 2
 356 519 532 546 2
 357 525 537 547 2
 358 527 540 542 2
 359 528 540 544 2
 360 529 542 544 2
 361 530 542 547 2
 362 532 543 546 2
 363 533 544 556 2
 364 534 548 556 2
 365 535 548 557 2
 366 537 549 552 2
 367 538 551 554 2
 368 539 554 561 2
 369 541 556 557 2
 370 543 562 573 2
 371 545 574 579 2
 372 546 574 584 2
 373 548 576 578 2
 374 549 576 641 2
 375 550 578 579 2
 376 551 578 582 2
 377 552 578 630 2
 378 553 579 630 2
 379 554 580 581 2
 380 555 580 590 2
 381 556 581 587 2
 382 558 582 585 2
 383 559 582 639 2
 384 560 584 585 2
 385 561 586 640 2
 386 564 589 590 2
 387 565 589 592 2
 388 566 591 592 2
 389 569 595 609 2
 390 571 596 601 1
 391 572 596 609 2
 392 576 602 603 2
 393 578 610 613 2
 394 579 610 615 2
 395 580 611 612 2
 396 581 611 628 2
 397 582 612 613 2
 398 583 612 620 2
 399 585 612 627 2
 400 586 613 619 2
 401 587 614 615 2
 402 588 614 617 2
 403 590 617 627 2
 404 591 618 620 2
 405 592 618 621 2
 406 593 619 621 2
 407 594 621 623 2
 408 596 623 680 2
 409 597 624 626 2
 410 598 626 628 2
 411 599 631 640 2
 412 600 632 647 2
 413 601 633 644 2
 414 602 634 635 2
 415 603 634 695 2
 416 604 635 642 2
 417 605 635 646 2
 418 606 637 638 2
 419 607 637 640 2
 420 608 638 647 2
 421 609 639 640 2
 422 610 643 644 2
 423 611 643 645 2
 424 612 645 646 2
 425 613 645 695 2
 426 614 648 667 2
 427 615 648 693 2
 428 616 649 650 2
 429 617 649 655 2
 430 618 649 658 2
 431 619 649 693 2
 432 620 650 672 2
 433 621 650 678 2
 434 622 651 655 2
 435 623 651 670 2
 436 624 652 667 1
 437 625 652 681 1
 438 626 653 669 2
 439 627 653 673 1
 440 630 655 691 2
 441 631 655 692 2
 442 633 657 658 2
 443 634 657 662 2
 444 635 657 686 2
 445 636 657 691 2
 446 637 658 661 2
 447 638 658 685 2
 448 639 659 660 1
 449 640 659 688 1
 450 641 660 694 1
 451 642 661 676 2
 452 643 662 685 2
 453 645 666 672 2
 454 646 666 686 2
 455 647 667 668 2
 456 648 668 690 2
 457 649 669 670 2
 458 650 669 671 2
 459 651 670 671 2
 460 652 674 690 2
